Country,Languages
Libya,"Arabic, Italian, English; Berber"
Liechtenstein,"German , Italian , Turkish , Portuguese , other Â "
Lithuania,"Lithuanian , Russian , Polish , other , unspecified Â "
Luxembourg,"Luxembourgish) , Portuguese , French , German , Italian , English , other Â "
Madagascar,"French, Malagasy, English"
Malawi,"English, Chewa, Lambya, Lomwe, Ngoni, Nkhonde, Nyakyusa, Nyanja, Sena, Tonga, Tumbuka, Yao"
Malaysia,"Bahasa Malaysia, English, Chinese, Tamil, Telugu, Malayalam, Panjabi, Thainote: Malaysia has living languages - indigenous languages and non-indigenous languages; in East Malaysia, there are several indigenous languages; the most widely spoken are Iban and Kadazan"
Maldives,"Dhivehi, English"
Mali,"French, Bambara , Peuhl/Foulfoulbe , Dogon , Maraka/Soninke , Malinke , Sonrhai/Djerma , Minianka , Tamacheq , Senoufo , Bobo , unspecified , other Â "
Malta,"Maltese , English , multilingual , other Â "
Marshall Islands,"Marshallese , other languages "
Mauritania,"Arabic, Pular, Soninke, Wolof, French"
Mauritius,"Creole , Bhojpuri , French , two languages , other , unspecified Â "
Mexico,"Spanish only , Spanish and indigenous languages , indigenous only , unspecified Â note: indigenous languages include various Mayan, Nahuatl, and other regional languages"
Micronesia,"Spanish only , Spanish and indigenous languages , indigenous only , unspecified Â "
Moldova,"Moldovan/Romanian , Russian , Gagauz , Ukrainian , Bulgarian , Romani , other "
Monaco,"French, English, Italian, Monegasque"
Mongolia,"Mongolian , Turkic, RussianÂ "
Montenegro,"Serbian , Montenegrin , Bosnian , Albanian , Serbo-Croat , other , unspecified Â "
Morocco,"Arabic, Berber languages, Tachelhit, Tarifit), French"
Mozambique,"Makhuwa , Portuguese , Tsonga , Nyanja  Sena , Lomwe , Chuwabo , Ndau , Tswa , other Mozambican languages , other , unspecified Â "
Myanmar,"Makhuwa , Portuguese , Tsonga , Nyanja  Sena , Lomwe , Chuwabo , Ndau , Tswa , other Mozambican languages , other , unspecified Â "
Namibia,"Oshiwambo languages , Nama/Damara , Kavango languages , Afrikaans , Herero languages , Zambezi languages , English , other African languages , other European languages ., other Â "
Nauru,"Nauruan , English , other Â "
Nepal,"Nepali , Maithali , Bhojpuri , Tharu , Tamang , Newar , Bajjika ,Â Magar , Doteli , Urdu , Avadhi , Limbu , Gurung , Baitadeli , other , unspecified Â "
Netherlands,"Dutchnote: Frisian is an official language in Fryslan province; Frisian, Low Saxon, Limburgish, Romani, and Yiddish have protected status under the European Charter for Regional or Minority Languages; Dutch is the official language of the three special municipalities of the Caribbean Netherlands; English is a recognized regional language on Sint Eustatius and Saba; Papiamento is a recognized regional language on Bonaire"
New Zealand,"English , Maori , Samoan , Northern Chinese , Hindi , French , Yue , New Zealand Sign Language ., other or not stated Â "
Nicaragua,"Spanish , Miskito , Mestizo of the Caribbean coast , other Â "
Niger,"French, Hausa, Djerma"
Nigeria,"English, Hausa, Yoruba, Igbo, Fulani, over additional indigenous languages"
North MacedoniaÂ,"Macedonian , Albanian , Turkish , Romani , Serbian , other and Bosnian) "
Norway,"Bokmal Norwegian, Nynorsk Norwegian, small Sami- and Finnish-speaking minorities"
Oman,"Arabic, English, Baluchi, Swahili, Urdu, Indian dialects"
Pakistan,"Punjabi , Sindhi , Saraiki , Pashto , Urdu , Balochi , Hindko , Brahui , English, Burushaski, and other "
Palau,"Palauan , other Micronesian , English , Filipino , Chinese , other Â "
Palestinian State (proposed),"Palauan , other Micronesian , English , Filipino , Chinese , other Â "
Panama,"Spanish, indigenous languages, Buglere, Kuna, Embera, Wounaan, Naso, and Bri Bri), Panamanian English Creole, English, Chinese, Arabic, French Creole, other"
Papua New Guinea,"Tok Pisin, English, Hiri Motu, some indigenous languages spoken; many languages have fewer than speakers"
Paraguay,"Spanish and Guarani , only Guarani , only Spanish , other  , no response .Â "
Peru,"Spanish , Quechua , Aymara , Ashaninka , other native languages , other , none ., unspecified .Â "
Philippines,"unspecified Filipino and English; eight major dialects - Tagalog, Cebuano, Ilocano, Hiligaynon or Ilonggo, Bicol, Waray, Pampango, and Pangasinan"
Poland,"Polish , Silesian , other , unspecified Â "
Portugal,"Portuguese, Mirandese"
Qatar,"Arabic, English commonly used as a second language"
Romania,"Romanian , Hungarian , Romani , other , unspecified Â "
Russia,"Russian , Tatar , Chechen , other Â "
Rwanda,"Kinyarwanda , French <. English <. Swahili/Kiswahili <. more than one language, other , unspecified Â "
St. Kitts and Nevis,"Sinhala , Tamil , English Â "
St. Lucia,"Sinhala , Tamil , English Â "
St. Vincent and the Grenadines,"Sinhala , Tamil , English Â "
Samoa,"Samoan , Somoan/English , English , other , unspecified Â "
San Marino,Italian
SÃ£o TomÃ© and PrÃ­ncipe,"Portuguese , Forro , Cabo Verdian , French , Angolar , English , Lunguie , other Â "
Saudi Arabia,Arabic
Senegal,"French, Wolof, Pular, Jola, Mandinka, Serer, Soninke"
Serbia,"Serbian , Hungarian , Bosnian , Romani , other , undeclared or unknown Â "
Seychelles,"Seychellois Creole , English , French , other , unspecified Â "
Sierra Leone,"English, Mende, Temne, Krio"
Singapore,"English , Mandarin , other Chinese dialects , Malay , Tamil , other Â "
Slovakia,"Slovak , Hungarian , Roma , Ruthenian , other or unspecified Â "
Slovenia,"Slovene , Serbo-Croatian , other or unspecified , Italian, HungarianÂ "
Solomon Islands,"Melanesian pidgin, English, indigenous languages"
Somalia,"Somali, Arabic, Italian, English"
South Africa,"isiZulu , isiXhosa , Afrikaans , Sepedi , Setswana , English , Sesotho , Xitsonga , siSwati , Tshivenda , isiNdebele , other Â "
South Sudan,"English, Arabic, regional languages include Dinka, Nuer, Bari, Zande, Shilluk"
Spain,"Castilian Spanish , Catalan) , Galician , Basque , Aranese along with Catalan, <speakers)"
Sri Lanka,"Sinhala , Tamil , English Â "
Sudan,"Arabic, English, Nubian, Ta Bedawie, Fur"
Suriname,"Dutch, English, Sranang Tongo, Caribbean Hindustani, Javanese"
Sweden,Swedish
Switzerland,"German , French , Italian , English , Portuguese , Albanian , Serbo-Croatian , Spanish , Romansh , other Â "
Syria,"Arabic, Kurdish, Armenian, Aramaic, Circassian, French, English"
Taiwan,"Mandarin Chinese, Taiwanese, Hakka dialects, approximately indigenous languages"
Tajikistan,"Tajik , Uzbek , Kyrgyz ., Russian ., other Â "
Tanzania,"Kiswahili or Swahili, Kiunguja, English, Arabic, many local languages"
Thailand,"Thai only , Thai and other languages , only other languages Â "
Togo,"French, Ewe and Mina, Kabye and Dagomba"
Tonga,"Tongan and English , Tongan, English, and other language , Tongan only , English only , other , none Â "
Trinidad and Tobago,"English, Trinidadian Creole English, Tobagonian Creole English, Caribbean Hindustani, Trinidadian Creole French, Spanish, Chinese"
Tunisia,"Arabic, French, Berber"
Turkey,"Turkish, Kurdish, other minority languages"
Turkmenistan,"Turkmen , Russian , Uzbek , other "
Tuvalu,"Tuvaluan, English, Samoan, Kiribati"
Uganda,"English, Ganda or Luganda, other Niger-Congo languages, Nilo-Saharan languages, Swahili, Arabic"
Ukraine,"Ukrainian , Russian , other "
United Arab Emirates,"Arabic, English, Hindi, Malayam, Urdu, Pashto, Tagalog, Persian"
United Kingdom,"Englishnote: the following are recognized regional languages: Scots, Scottish Gaelic, Welsh, Irish, Cornish"
United States,"English only , Spanish , Chinese , other Â note: data represent the language spoken at home; the US has no official national language, but English has acquired official status in of the states; Hawaiian is an official language in the state of Hawaii, and indigenous languages are official in Alaska"
Uruguay,Spanish
Uzbekistan,"Uzbek , Russian , Tajik , other "
Vanuatu,"local languages , Bislama , English , French , other Â "
Vatican CityÂ (Holy See),"Italian, Latin, French, various other languages"
Venezuela,"Spanish, numerous indigenous dialects"
Vietnam,"Vietnamese, EnglishÂ , some French, Chinese, and Khmer,Â mountain area languages"
Western SaharaÂ (proposed state),"Standard Arabic, HassaniyaÂ Arabic, Moroccan Arabic, Berber, Spanish, French"
Yemen,Arabic
Zambia,"Bemba , Nyanja , Tonga , Lozi , Chewa , Nsenga , Tumbuka , Lunda , Kaonde , Lala , Lamba , English , Luvale , Mambwe , Namwanga , Lenje , Bisa , other , unspecified Â "
Zimbabwe,"Shona, Ndebele, English, minority languages"
